,city,lat,lng,max_temp,humidity,cloudiness,windspeed
311,Kulhudhuffushi,6.6221,73.07,28.32,73,5,4.28
312,Mayo,38.8876,-76.5119,11.67,76,1,1.54
313,Saint-Pierre,-21.3393,55.4781,29.0,61,0,10.8
314,Konëvo,62.1215,39.3192,-15.36,93,6,2.5
315,Nurota,40.5614,65.6886,9.0,37,3,2.06
316,Yulara,-25.2406,130.9889,34.0,36,19,6.17
317,Berdigestyakh,62.0989,126.6992,-13.03,91,100,4.38
318,Inhambane,-23.865,35.3833,27.0,83,20,3.09
319,Kaitangata,-46.2817,169.8464,14.44,66,45,1.79
320,Alexandria,31.2156,29.9553,17.0,82,40,3.09
321,Banjar,-8.19,114.9675,31.0,74,20,4.12
322,Shache,38.4167,77.2406,15.28,31,33,6.59
323,Biak,-0.9131,122.8766,27.94,71,90,0.91
324,Eastlake,41.6539,-81.4504,16.0,29,75,3.6
325,Vestmannaeyjar,63.4427,-20.2734,0.65,86,14,14.95
326,Hambantota,6.1241,81.1185,31.0,66,20,3.6
327,Chicama,-7.8447,-79.1469,24.19,68,22,1.92
328,Isangel,-19.55,169.2667,27.0,65,75,3.09
329,Ostrovnoy,68.0531,39.5131,-15.8,85,36,9.34
330,Province of Trapani,37.8333,12.6667,14.44,62,20,5.14
331,Tomatlán,19.9333,-105.25,18.23,93,0,0.54
332,Zhuhai,22.2769,113.5678,28.33,73,20,2.06
333,Elizabeth City,36.2946,-76.2511,12.78,58,1,3.09
334,Alice Springs,-23.7,133.8833,29.0,58,40,4.12
335,Puerto Carreño,6.189,-67.4859,28.49,46,98,1.6
336,Doha,25.2867,51.5333,28.89,41,0,5.66
337,Yantai,37.5333,121.4,10.48,53,100,1.58
338,Tombouctou,20.0,-3.0,16.88,30,0,5.04
339,At-Bashi,41.1702,75.8106,-0.77,87,100,0.59
340,Klyuchevskiy,53.5317,119.4519,-2.04,93,8,2.44
341,Jutaí,-5.1833,-68.9,21.7,96,94,0.27
342,Ilulissat,69.2167,-51.1,-9.0,73,90,1.12
343,Sivas Province,39.7916,37.0019,3.0,93,75,2.06
344,Buhe,30.2876,112.2298,15.65,60,62,2.86
345,Tignère,7.3667,12.65,19.81,51,100,1.65
346,Paita,-5.0892,-81.1144,24.57,71,30,4.65
347,Werda,-25.2667,23.2833,22.75,24,0,3.34
348,Kununurra,-15.7667,128.7333,26.0,94,90,4.03
349,Viedma,-40.8135,-62.9967,17.29,37,71,5.7
350,Robe,-37.1833,139.75,17.56,76,18,6.56
351,Carutapera,-1.195,-46.02,24.33,88,100,1.01
352,Kiryat Gat,31.61,34.7642,18.33,19,68,0.89
353,Qui Nhon,13.7667,109.2333,27.04,71,28,5.81
354,Guerrero Negro,27.9769,-114.0611,13.26,77,19,5.52
355,Mīnāb,27.1467,57.0801,26.0,57,0,4.12
356,Qaanaaq,77.484,-69.3632,-15.09,78,1,2.24
357,Bonthe,7.5264,-12.505,25.43,90,27,2.41
358,San Vicente de Cañete,-13.0751,-76.3835,22.07,77,77,0.72
359,Nouadhibou,20.931,-17.0347,15.0,77,0,9.26
360,Quelimane,-17.8786,36.8883,28.0,89,40,5.14
361,Nyrob,60.733,56.7202,-20.76,90,100,1.42
362,Hay River,60.8156,-115.7999,-20.0,71,32,1.54
363,Eyl,7.9803,49.8164,27.74,60,89,6.47
364,Merritt Island,28.5392,-80.672,16.67,86,22,4.17
365,Waingapu,-9.6567,120.2641,28.17,72,100,1.12
366,Linjiang,41.8069,126.9078,10.45,53,58,2.3
367,Olafsvik,64.8945,-23.7142,-3.6,89,97,9.73
368,Beausejour,50.0622,-96.5167,-4.0,86,100,1.54
369,Salalah,17.0151,54.0924,28.0,51,0,1.03
370,Talnakh,69.4865,88.3972,-30.75,84,98,3.22
371,Umba,66.6871,34.3429,-14.95,89,4,5.35
372,Kedrovyy,56.1667,91.8167,7.0,45,0,11.0
373,Kharp,66.8014,65.8081,-27.75,83,0,1.87
374,Davenport,41.5236,-90.5776,14.0,76,20,7.72
375,Lastoursville,-0.8143,12.7287,23.42,91,87,0.33
376,The Valley,18.217,-63.0578,25.0,69,20,5.66
377,Dzhebariki-Khaya,62.2167,135.8,-11.61,91,100,3.12
378,Comodoro Rivadavia,-45.8667,-67.5,12.0,37,1,16.98
379,Naze,28.3667,129.4833,21.0,60,75,6.17
380,Laguna,38.421,-121.4238,5.56,87,1,1.54
381,Gibara,21.1097,-76.1317,21.0,88,75,5.66
382,Marakkanam,12.2,79.95,31.0,62,40,2.06
383,Nizwá,22.9333,57.5333,31.21,13,0,2.69
384,Nyköping,58.753,17.0079,1.0,80,75,7.72
385,Murmashi,68.8154,32.8115,-12.0,56,0,4.0
386,Bandarbeyla,9.4942,50.8122,26.65,66,30,4.88
387,Moose Factory,51.2585,-80.6094,-12.0,78,90,3.6
388,Pleszew,51.8964,17.7855,1.67,65,88,1.79
389,Mogadishu,2.0371,45.3438,29.0,61,75,6.17
390,Honningsvåg,70.9821,25.9704,-9.0,67,20,13.38
391,Biu,10.6129,12.1946,24.48,17,70,0.79
392,Mackay,-21.15,149.2,29.44,61,40,5.66
393,Chimbote,-9.0853,-78.5783,23.56,75,76,2.16
394,Kupang,-10.1667,123.5833,31.0,70,75,3.6
395,Haftoni,38.7632,48.7622,6.0,100,90,3.6
396,Tabas,33.5959,56.9244,17.84,27,0,1.83
397,Tarazá,7.5836,-75.4007,23.32,84,98,0.33
398,Lagoa,39.05,-27.9833,13.37,75,100,6.67
399,Ola,59.5833,151.2833,-14.48,91,55,0.35
400,Itanagar,27.1,93.6167,22.0,83,75,1.54
401,Touros,-5.1989,-35.4608,24.0,94,40,1.54
402,Dire Dawa,9.5931,41.8661,25.76,37,0,2.99
403,Tulsīpur,28.131,82.2973,30.79,13,0,3.43
404,Beruwala,6.4788,79.9828,29.6,58,79,1.13
405,Pauini,-7.7136,-66.9764,21.33,98,95,0.78
406,Hirara,24.8,125.2833,25.0,61,20,6.17
407,Albanel,48.8832,-72.4487,3.0,60,100,4.12
408,Amantea,39.1332,16.0746,5.0,68,0,7.2
409,Wanning,18.8003,110.3967,26.2,73,42,4.12
410,Hajnówka,52.7433,23.5812,-2.23,91,0,3.62
411,Kaz,52.9113,87.3105,-3.32,97,100,3.8
412,Pitimbu,-7.4706,-34.8086,24.0,100,40,1.54
413,Changping,40.2186,116.2197,18.89,48,75,4.0
414,Wuxue,29.8506,115.5525,15.2,78,92,3.81
415,Aksarka,66.5606,67.7975,-29.59,86,17,4.68
416,Guanare,9.0418,-69.7421,24.0,69,100,1.03
417,Zhezkazgan,47.8043,67.7144,-5.0,86,90,10.0
418,Zachary,30.6485,-91.1565,19.0,77,75,3.09
419,Pérez,-32.9983,-60.7679,23.89,94,0,2.54
420,Smidovich,48.6,133.8167,1.01,89,0,4.62
421,Slavgorod,52.9978,78.6449,-6.53,93,3,8.0
422,Stolin,51.8912,26.846,-3.38,91,0,3.61
423,Yumen,40.2833,97.2,13.86,30,17,5.66
424,Masunga,-20.6246,27.4488,22.0,73,0,2.06
425,Ust'-Charyshskaya Pristan',52.3934,83.6635,-4.52,94,100,6.42
426,Lima,-12.0432,-77.0282,23.33,83,0,4.63
427,Maricá,-22.9194,-42.8186,26.11,94,40,1.54
428,Brenham,30.1669,-96.3977,21.0,88,90,5.66
429,Presidencia Roque Sáenz Peña,-26.7852,-60.4388,21.11,60,0,0.45
430,Enköping,59.6361,17.0777,0.56,80,75,8.23
431,Tocache,-8.1842,-76.5125,20.13,85,94,0.21
432,Cardston,49.2,-113.3019,-6.0,79,99,2.06
433,Esperance,-33.8667,121.9,30.0,39,40,3.6
434,Miguel Alves,-4.1656,-42.8953,22.36,97,100,0.02
435,Uiraúna,-6.5183,-38.4122,22.18,92,54,0.5
436,Lucea,18.451,-78.1736,24.0,83,20,4.12
437,Zhangaözen,43.3,52.8,-1.0,83,89,6.75
438,Malmyzh,56.5205,50.6818,-17.56,92,88,4.44
439,Porto Velho,-8.7619,-63.9039,23.0,94,20,1.54
440,Fort Frances,48.5999,-93.4003,-1.0,59,90,5.14
441,Egvekinot,66.3167,-179.1667,-35.29,88,43,0.35
442,Janaúba,-15.8025,-43.3089,20.28,87,32,0.62
443,Nishihara,26.1842,127.7558,24.0,56,40,5.66
444,Kloulklubed,7.0419,134.2556,29.0,74,75,2.06
445,Lázaro Cárdenas,17.9583,-102.2,20.99,86,0,1.71
